,precision,recall,f1-score,support
Close Eyes,0.7445774121166792,0.9875992063492064,0.8490405117270788,2016.0
Open Eyes,0.9839948783610756,0.6923423423423424,0.812797461660497,2220.0
accuracy,0.8328611898016998,0.8328611898016998,0.8328611898016998,0.8328611898016998
macro avg,0.8642861452388774,0.8399707743457744,0.8309189866937879,4236.0
weighted avg,0.8700511550492949,0.8328611898016998,0.8300462786893519,4236.0
